LocationName,Status,Resolution,Coordinates,LatitudeDecimal,LongitudeDecimal,Nation,ProvinceState,DistrictCounty,CityTown,Biome,ContinentOcean,ParkReserveName,Altitude,Rainfall,Temperature,Notes,Accuracy,Extent_km2,TimeAdded
"Amazonas State",NULL,SL,NULL,-5.2,-61.83,Brazil,Amazonas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"along the BR-319 road",2,1,"2019-11-13 20:49:53"
Amazonas-Colombia,NULL,P,"01° 01' 11" S; 071° 56' 18" W",-1.45,-71.56,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,";Acmemapper 2.0,Amazonas colombia",2,2,"2020-01-17 21:09:27"
Ambatolampy,NULL,SL,NULL,-19.38,47.42,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,";Acmemapper 2.0,Ambatolampy",2,2,"2019-11-07 21:14:00"
Ambatondrazaka,NULL,SL,"17° 50' 00" S; 048° 25' 00" E",-17.83,48.41,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Ambatondrazaka PPL",2,2,"2011-07-07 19:27:41"
Ambatovy,NULL,SL,NULL,-18.8167,48.3,Madagascar,,Moramanga,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Ambatovy",2,2,"2020-01-14 21:15:29"
"Ambatovy Joint Venture",NULL,SL,"-18.7782696,48.2637773",-18.7783,48.2638,Madagascar,,Moramanga,,NULL,NULL,,NULL,NULL,NULL,,1,1,"2019-11-07 20:20:20"
Ambavaniasy,NULL,SL,"18° 57' 00" S; 048° 31' 00" E",-18.95,48.51,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Ambavaniasy;Acmemapper 2.0;location could not be parsed",2,2,"2011-07-07 19:27:45"
Ambohimahavelona,NULL,P,NULL,-23.4445,43.9098,Madagascar,NULL,"Toliara II ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Ambohimahavelona -> Toliara II
"Tulear Province" is now Toliara",3,2,"2019-11-07 20:37:00"
Ambolisaka,NULL,P,NULL,-21.9,43.5833,Madagascar,,,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Ambolisaka, Madagascar",,,"2020-01-14 21:16:13"
Amboseli,NULL,SL,"02° 40'00" S; 037° 17' 00" E",-2.63,37.26,Kenya,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames: Amboseli PPL;Acmemapper 2.0;Amboseli",2,2,"2011-07-07 19:27:51"
Amistad-Caribe,NULL,O,NULL,9.40408,-82.941,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Google maps: La Amistad International Park",1,3,"2019-12-04 21:06:32"
Ampijoroa,NULL,SL,NULL,-16.21,47.2,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Acmemapper 2.0;Ampijoroa",2,2,"2019-11-07 20:46:37"
"AN field site",NULL,SL,NULL,4.5,27.7,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 19:00:56"
Analamazoatra,NULL,SL,NULL,-18.9314,48.4103,Madagascar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,"2019-11-07 21:07:57"
Anerley,NULL,SL,,-30.6721,30.5078,"South Africa",KwaZulu-Natal,,Anerley,NULL,NULL,"Camp Anerley",NULL,NULL,NULL,,1,2,"2020-08-23 22:18:36"
"Ankafana Forest",NULL,O,NULL,NULL,NULL,Madagascar,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Geonames: no hits; East Betsileo was a province in the 1800s and even Blanco et al 2013 could not find the modern location",4,3,"2019-11-07 21:05:11"
Ankarafa,NULL,SL,NULL,-16.31,46.8,Madagascar,"Province Autonome de Mahajanga",NULL,NULL,NULL,Africa,"Sahamalaza National Park",NULL,1600,32,"Maximum annual temperature 32C. Min. annual temperature 20.6. National Park and UN Biosphere Reserve on the Sahamalaza Peninsula. However, lat long for this is in the sea so used Ankarafantsika coords instead.",2,2,"2019-11-07 21:12:36"
Ankarafantsika,NULL,SL,"16° 19' S; 46° 48' E",-16.31,46.8,Madagascar,,,,NULL,Africa,1,0,0,NULL,"obtained from Weidt et al. 2004,  AJPA 123:40-51
",1,1,"2011-07-07 23:24:09"
Antongyl,NULL,SL,NULL,-15.79,49.83,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Acmemapper 2.0;Antongil matched,no records for Antongyl",2,2,"2019-11-07 21:13:03"
Antsiranana,NULL,SL,"13° 08' 52" S, 49°55' 03" E",-13.148,49.918,Madagascar,,,,NULL,NULL,,NULL,NULL,NULL,,1,1,"2020-01-21 21:13:24"
"Aquidauana ",NULL,SL,"20º28'15" S and 55°47'13" W",20.4708,55.7869,Brazil,"Mato Grosso do Sul",,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-09-15 01:05:34"
Arabuko,NULL,SL,"03° 20' 00" S; 039° 52' 00" E",-3.33,39.86,Kenya,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"forest; Geonames: no records for Arabuka, but match for Arabuko Forest FRST",2,2,"2011-07-07 19:25:39"
Arashiyama,NULL,SL,NULL,35.03,135.7,Japan,Kyoto,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper 2.0;Arashiyama",2,2,"2019-11-07 21:14:40"
"Aratay River",NULL,O,NULL,NULL,NULL,,"French Guiana",NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"; Acmemapper 2.0; Aratay River - no this is in Kazakhstan!",-,-,"2020-01-14 21:16:42"
Arenal-Tempisque,NULL,O,NULL,10,-84.5,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SINAC website lists coordinates http://www.sinac.go.cr/EN-US/ac/acat/Pages/default.aspx",1,3,"2019-12-04 21:06:35"
ARGENTINA,NULL,N,"34° 00' 00" S; 064° 00' 00" W",-34,-64,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Argentina PCLI",2,4,"2011-07-06 21:42:13"
Arusha,NULL,SL,NULL,-3.25,36.75,Tanzania,,,,NULL,NULL,"Arusha National Park",NULL,NULL,NULL,"Geonames: Arusha National Park",2,2,"2020-01-14 21:14:42"
ASIA,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; not relevant",-,-,"2019-11-13 20:54:52"
Asir,NULL,SL,"19° 00'00" N; 042° 00' 00" E",19,42,"Saudi Arabia",NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames: Asir RGN",2,3,"2011-07-07 19:29:18"
Assam,NULL,P,"26° 00' 00" N; 093° 00' 00" E",26,93,India,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"state in India; Geonames: Assam ADM1",2,3,"2011-07-06 21:46:03"
Awajishima,NULL,P,NULL,34.3,134.8,Japan,Hyogo,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper 2.0;Awajishima",2,2,"2019-11-13 20:54:49"
Awash,NULL,SL,"08° 24' 00" N; 039° 20' 00" E",8.4,39.33,Ethiopia,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"national park; Geonames: Awash (2)",2,2,"2011-07-07 19:29:50"
"AZ field site",NULL,SL,NULL,1.6,22.9,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 19:01:00"
"BA field site",NULL,SL,NULL,1.2,27.1,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 18:57:53"
Bahia,NULL,P,"12° 00' 00" S; 042° 00' 00" W",-12,-42,Brazil,,,,NULL,SouthAmerica,0,0,0,NULL,"State of Bahia in Ricciardi et al. 1976; Geonames: Bahia ADMD
",2,2,"2011-07-07 23:31:12"
"Bahr El Ghazal",NULL,P,NULL,9.32,29.85,"South Sudan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: has both east and west Bahr El Ghazal 
Used Google Maps: Bahr el Ghazal for central location",3,2,"2019-12-05 18:00:29"
"Bai Hokou",NULL,SL,NULL,2.85944,16.4675,"Central African Republic","Dzangha-Ndoki National Park",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Provided in paper",1,1,"2019-11-21 20:14:51"
Bakel,NULL,P,NULL,14.2361,-12.2396,Senegal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Bakel, Senegal",2,2,"2019-11-13 21:09:51"
Bako,NULL,SL,NULL,1.717,110.45,Malaysia,,,,NULL,NULL,,NULL,NULL,NULL,"Bako National Park",1,1,"2020-01-14 21:14:32"
Bakoumba,NULL,SL,"12º59'55.91E 1º46'49.21S",13.0213,1.8299,Gabon,,,,NULL,Africa,,NULL,NULL,NULL,,1,1,"2019-11-13 21:11:58"
Balancan,NULL,SL,"(17º40'N, -91º30W)",17.8082,91.5357,Mexico,Tabasco,,,NULL,SouthAmerica,,NULL,1976,27.9,,1,1,"2019-11-21 20:35:39"
Balanga,NULL,SL,NULL,-1.16436,23.5494,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Google maps: Balanga, DRC",2,2,"2019-11-21 20:31:38"
Balbina,NULL,SL,"01° 55' 00" S; 059° 28' 00" W",-1.91,-59.46,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"State of Amazonas; from primary ref, Lourenco de Oliveira and Deane 1995",1,1,"2011-07-06 21:44:40"
Bali,NULL,P,NULL,-8.33333,115,Indonesia,,,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Bali",3,3,"2020-01-14 21:14:34"
Ballena,checked,SL,,9.15,-82.267,"Costa Rica",,,,CoastalMarine,PacificOcean,,NULL,NULL,NULL,,1,2,"2020-05-27 07:37:09"
Bananjale,NULL,SL,NULL,0.616666,25.4167,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,"Lomami National Park",NULL,NULL,NULL,"Manual finding of coordinates by map from Terese Hart: https://www.flickr.com/photos/teresehart/12290344873/ ",2,1,"2019-11-22 21:52:19"
Bandundu,NULL,P,NULL,-2.44676,20.903,"Democratic Republic of Congo",Bandundu,,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Salong National Park",2,2,"2020-01-14 21:16:01"
BANGLADESH,NULL,N,"24° 00' 00" N; 90° E",24,90,Bangladesh,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Bangladesh PCLI",2,4,"2011-07-06 21:44:04"
Bangui,NULL,SL,"03° 53' 00" N; 018° 00' 00" E",3.88,18,"Central African Republic",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"near M'Baiki, southern CAR; Geonames: Bangui PPL brings up many, used Mbaiki PPL instead",3,2,"2011-07-07 19:32:44"
"Baobeng Fiema",NULL,SL,NULL,7.79,-1.76,Ghana,NULL,Nkoranza,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper 2.0,Baobeng Fiema not matched,returned Boabeng Fiema;Monkey Sanctuary",2,2,"2012-09-18 18:16:25"
Barbascal,NULL,SL,NULL,3.68333,-73.4333,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,NULL,0,0,NULL,"; Geonames: Barbascal, Colombia",2,2,"2019-12-03 18:23:56"
Barcelos,NULL,SL,NULL,-0.39287,-63.5371,Brazil,Amazonia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Barcelos, Brazil, Amazonas",2,2,"2019-12-03 18:29:30"
"Barigui Park",NULL,SL,NULL,25.4269,-49.3078,Brazil,Paraná,,Curitiba,NULL,NULL,,NULL,NULL,NULL,"Coordinates given in paper",1,1,"2020-01-14 21:16:40"
Barranquilla,NULL,SL,NULL,10.9639,-74.7964,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Coordinates given by Smithsonian: https://www.si.edu/object/nmnhinvertebratezoology_12011880",2,2,"2019-12-03 18:35:07"
"Barro Colorado Island",NULL,SL,"09° 09' 17" N; 079° 50' 53" W",9.15,-79.83,Panama,NULL,NULL,NULL,NULL,NorthAmerica,2,0,0,NULL,"; Geonames:  Barro Colorado Island",2,2,"2011-07-07 19:35:49"
Bata,NULL,SL,NULL,1.86,9.76,Guinea,NULL,NULL,NULL,NULL,Africa,0,NULL,NULL,NULL,";google maps;multiple its,used Bata,littoral,equitorial guinea as other options are not in guinea",2,2,"2011-07-07 19:36:12"
"Batang Berjuntai",NULL,SL,"03° 23' 00" N; 101° 25' 00" E",3.38,101.41,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"on fringes of oil and palm plantations; Geonames:  Batang Berjuntai (only value that came up);confirmed on Acmemapper 2.0",2,2,"2011-07-07 19:36:45"
Bayandjo,NULL,SL,NULL,-0.28333,25.1,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"; Geonames: Bayandjo, DR Congo",2,2,"2019-12-03 18:36:55"
"BB field site",NULL,SL,NULL,2.9,14.7,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2012-09-18 18:16:28"
"BD field site",NULL,SL,NULL,4.2,27.1,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 18:57:38"
Behara,NULL,SL,NULL,-24.95,46.3833,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Behara in the Anosy Region in the South (paper mentions "sud")",3,2,"2019-12-03 18:40:55"
Bekily,NULL,SL,NULL,-19.8667,44.9,Madagascar,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Geonames: Bekily I in Menabe. Cross-referenced state with range of Lepilemur ruficaudatus, which helped narrow search tremendously",2,2,"2019-12-03 18:44:28"
"Bela Vista",NULL,SL,,-25.4492,-54.555,Brazil,Parana,,,NULL,NULL,"Bela Vista Biological Sanctuary",NULL,NULL,NULL,,1,2,"2020-05-29 23:08:19"
Belem,NULL,SL,"01° 27' 00" S; 048° 29' 00" W",-1.45,-48.48,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"in Para State; Geonames:  Belem do Para PPL (many Belem, matched up also using Atlas);Also usig Acmemapper 2.0",2,2,"2011-07-07 19:37:24"
"Belize and Mexico",NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"samples combined over both countries",4,4,"2019-12-03 18:46:53"
"Bella Vista",NULL,SL,"28° 30' 00" S; 058° 50' 00" W",-28.5,-58.83,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"Corrientes State; Geonames:  Bella Vista ADM2, matched up using atlas bc many Bella Vistas",3,2,"2011-07-07 19:38:07"
Belterra,NULL,SL,"02° 38' 00" S; 054° 57' 00" W",-2.63,-54.95,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"; Geonames: Belterra PPL",2,2,"2011-07-07 19:38:24"
Belvedere,NULL,SL,NULL,-20.75,-42.867,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Reference:  de Oliveira Tavela et al. 2013",1,1,"2019-12-03 18:48:36"
Bemangidy,NULL,SL,NULL,-17.5,47,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: 3 hits with close coordinates,took average of the three values",2,2,"2019-12-03 18:48:47"
Beroboka,NULL,SL,"16° 46' 00" S; 045° 39' 00" E",-16.76,45.65,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: used Beroboka PPL, but some other potential matches in another locality",2,2,"2011-07-07 19:45:04"
Betampona,NULL,SL,NULL,-17.9,49.2167,Madagascar,NULL,NULL,Tamatave,NULL,Africa,NULL,NULL,NULL,NULL,"; Geonames: Tahiry Nanaharin Betampona",1,2,"2019-12-03 18:56:09"
"Beza Mahafaly",NULL,SL,"23° 30' S; 44° 40' E",-23.5,44.67,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; taken from proposal with Michelle Sauther",1,1,"2011-07-07 19:47:15"
"BF field site",NULL,SL,NULL,1,29,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 18:57:41"
"BI field site",NULL,SL,NULL,-0.8,24.7,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 18:57:44"
Bilsa,NULL,SL,NULL,0.35,-79.733,Ecuador,,,,NULL,NULL,,NULL,NULL,NULL,,1,2,"2020-01-14 21:14:38"
"Biosfera Montes Azules",NULL,SL,NULL,16.13,-90.94,Mexico,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"in Chiapas, in southern part of biosphere reserve in Lacandona Forest; lat-long given in reference",1,2,"2012-09-18 18:17:01"
Bipindi,NULL,SL,NULL,3.1,10.5,Cameroon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Provided by Herder et al. 2002",2,2,"2019-12-03 19:09:58"
"Bishan Gari",NULL,SL,"07° 36' 00" N; 038° 43' 00" E",7.6,38.71,Ethiopia,NULL,NULL,NULL,NULL,Africa,0,1600,0,NULL,"Southeast of Lake Langano, 210 km from Addis Ababa; Geonames: Langano LK",3,2,"2011-07-07 19:48:06"
"BL field site",NULL,SL,NULL,3.2,22.4,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2019-12-03 18:57:46"
"Boabeng-Fiema Monkey Sanctuary",NULL,SL,NULL,7.71667,1.7,Ghana,"Brong-Ahafo Region","Nkoranza district",NULL,NULL,Africa,NULL,350,1250,NULL,"1250 = mean annual rainfall from 1985-1990. Rainfall was 1329 in the year of the study",2,2,"2019-12-03 19:10:19"
Bobo-Dioulasso,NULL,SL,"11° 12' 00" N; 004° 18' 00" W",11.1,-4.2,"Burkina Faso",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Geonames;Bobo dioulasso Acmemapper 2.0;Bobo-Dioulasso,Burkina faso",2,2,"2011-07-07 19:51:36"
Bolívar,NULL,SL,NULL,6,-61.4,Venezuela,Bolívar,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Specific location given in Jones et al. 1972, as cited by Stuart et al. 1998",1,2,"2021-04-20 19:58:25"
BOLIVIA,NULL,N,"17° 00' 00" S; 065° 00' 00" W",-17,-65,Bolivia,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames:  Bolivia PCLI",2,3,"2011-07-07 19:51:52"
"Bolivia and Paraguay",NULL,O,NULL,NULL,NULL,"Bolivia and Paraguay",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,4,"2019-12-03 19:10:54"
Bonga,NULL,SL,NULL,7.2,36.2,Unknown,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; not in Geonames, no information on country;Acmemapper2.0 ;Bonga",2,2,"2019-12-03 19:11:01"
Bormi,NULL,P,NULL,24.2477,90.4976,Bangladesh,NULL,NULL,Bormi,NULL,NULL,NULL,NULL,NULL,NULL,"; in Geonames as "Barmi, Bangladesh". Cross-referencing using the map from the reference, it is the correct location",2,2,"2019-12-03 19:21:56"
Borneo,NULL,O,"01° 00' 00" N; 114° 00' 00" E",1,114,NULL,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"could be one of three countries; Geonames: Borneo , no country selected",3,4,"2019-12-03 19:28:18"
"Bosque da Companhia de Energia Eléctrica do Estado do Paraná",NULL,SL,NULL,-25.4325,-49.3017,Brazil,Paraná,,Curitiba,NULL,NULL,,NULL,NULL,NULL,,2,1,"2020-01-14 21:14:46"
Bossou,NULL,SL,NULL,7.7,-8.5,"Republic of Guinea",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper;Bossou,republic of guinea",2,2,"2012-09-18 18:17:27"
"BQ field site",NULL,SL,NULL,3.7,12.1,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,1,"2012-09-18 18:17:33"
BRAZIL,NULL,N,"10° 00' 00" S; 055° 00' 00" W",-10,-55,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames:  Brazil PCLI",2,4,"2011-07-08 19:39:10"
"Brazilian Atlantic Forest",NULL,O,NULL,-24.1667,-48,Brazil,"São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Crossreferencing Duarte et al. 2005 map with UNESCO coordinates of same location: https://whc.unesco.org/en/list/893/",2,3,"2019-12-03 19:58:49"
Brazzaville,NULL,SL,"04° 15' 33" S; 015° 17' 05" E",-4.25,15.28,"Republic of the Congo",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"not Zaire; Congo; Geonames: Brazzaville PPLC;confirmed on Acmemapper 2.0described in French as "Braizeville" in 1956, take this into context for 1950s Congo
Geonames: Commune de BRAZZAVILLE",2,2,"2020-01-15 20:34:32"
Budongo,NULL,SL,"01° 44' 16" N; 031° 33' 22" E
",1.73,31.55,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"also includes "Budango" records from National Parasite Collection; Geonames: Budongo Forest FRST",2,2,"2011-07-08 19:39:59"
Bugesera,NULL,SL,"02° 07' 00" S; 030° 25' 00" E",-2.11,30.41,Rwanda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"listed as Rwanda-Burundi; Geonames: Bugesera AREA;onfirmed ith Acmemapper 2.0",2,2,"2011-07-08 19:40:35"
Bugoma,NULL,SL,"01° 11' 53" N; 030° 56' 07" E",1.19,30.93,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""forest", Bunyoro district; Geonames: Bugoma Forest FRST",2,2,"2011-07-08 19:40:53"
Bujuko,NULL,SL,"00° 20' 08" N; 032° 21' 34" E",0.33,32.35,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Mengo district; Geonames: Bujuko PPL;confirmed on Acmemapper 2.0",2,2,"2011-07-08 19:41:08"
Bukavu,NULL,SL,"02° 30' 30" S; 028° 51' 39" E",-2.5,28.85,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Bukavu PPLAconfirmed with Acmemapper 2.0",2,2,"2019-12-03 18:59:55"
"Bukit Lagong Kepong",NULL,SL,NULL,3.25,101.65,Malaysia,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acme mapper 2.0;Bukit Lagong Kepong",2,2,"2012-06-14 21:56:12"
