,Unnamed: 0,HostCorrectedName,ParasiteCorrectedName,Arthropod,Bacteria,Protozoa,Fungus,Virus,Helminth,NoEntry,Vector,Direct,Indirect,Sexual,Vertical,CloseT,Nonclose,Intermediate,WtAvgPrevalence,Citation,Parasite_type,transmission_type
40,40,Alouatta caraya,Strongyloides sp.,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,,1,Helminth,Direct-Indirect-Nonclose
41,41,Alouatta caraya,Toxoplasma gondii,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,,3,Protozoa,Indirect-Intermediate
42,42,Alouatta caraya,Trichomonas sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,Protozoa,Direct
43,43,Alouatta caraya,Trypanosoma cruzi,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0.072459016,3,Protozoa,Vector-Indirect
44,44,Alouatta caraya,Trypanosoma minasense,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,1,Protozoa,Vector-Indirect
45,45,Alouatta caraya,Trypanosoma mycetae,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,1,Protozoa,Vector-Indirect
46,46,Alouatta caraya,Trypanoxyuris callithricis,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.98,1,Helminth,Direct-CloseT-Nonclose
47,47,Alouatta caraya,Trypanoxyuris minutus,0,0,0,0,0,7,0,0,7,0,0,0,7,7,0,0.155333333,2,Helminth,Direct-CloseT-Nonclose
48,48,Alouatta fusca,Amblyomma sculptum,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,1,Arthropod,Direct-Indirect-Nonclose
49,49,Alouatta fusca,Cebidicola semiarmatus,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,,2,Arthropod,Direct-CloseT
50,50,Alouatta fusca,Dipetalonema gracile,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
51,51,Alouatta fusca,Flavivirus Yellow Fever,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,,2,Virus,Vector-Indirect
52,52,Alouatta fusca,Moniezia rugosa,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
53,53,Alouatta fusca,Parabronema bonnei,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
54,54,Alouatta fusca,Plasmodium brasilianum,0,0,8,0,0,0,0,8,0,8,0,0,0,0,0,0.272005597,4,Protozoa,Vector-Indirect
55,55,Alouatta fusca,Plasmodium falciparum,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0.1665,1,Protozoa,Vector-Indirect
56,56,Alouatta fusca,Plasmodium simium,0,0,8,0,0,0,0,8,0,8,0,0,0,0,0,0.252785388,3,Protozoa,Vector-Indirect
57,57,Alouatta fusca,Plasmodium vivax,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0.267,1,Protozoa,Vector-Indirect
58,58,Alouatta fusca,Trichuris dispar,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
59,59,Alouatta fusca,Trypanosoma hippicum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
60,60,Alouatta fusca,Trypanosoma minasense,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
61,61,Alouatta fusca,Trypanosoma mycetae,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
62,62,Alouatta fusca,Trypanosoma venezuelense,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
63,63,Alouatta fusca,Trypanoxyuris minutus,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,,2,Helminth,Direct-CloseT-Nonclose
64,64,Alouatta palliata,Alouattamyia baeri,18,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0.603375785,6,Arthropod,Direct-Nonclose
65,65,Alouatta palliata,Alphavirus Mayaro virus,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0.6,2,Virus,Vector-Indirect
66,66,Alouatta palliata,Ascaris lumbricoides,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.006,1,Helminth,Direct-Nonclose
67,67,Alouatta palliata,Balantidium sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.094,1,Protozoa,Direct
68,68,Alouatta palliata,Blastocystis sp.,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0.604,2,Protozoa,Direct
69,69,Alouatta palliata,Capillaria sp.,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0.781,1,Helminth,Direct-Indirect-Nonclose-Intermediate
70,70,Alouatta palliata,Chilomastix sp.,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0.048,2,Protozoa,Direct
71,71,Alouatta palliata,Chromobacterium violaceum,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,Bacteria,Direct-Nonclose
72,72,Alouatta palliata,Controrchis biliophilus,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0.296977273,5,Helminth,Indirect-Intermediate
73,73,Alouatta palliata,Cyclospora sp.,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,,2,Protozoa,Direct
74,74,Alouatta palliata,Dermatobia hominis,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,Arthropod,Direct-Nonclose
75,75,Alouatta palliata,Entamoeba coli,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0.667,1,Protozoa,Direct-CloseT-Nonclose
76,76,Alouatta palliata,Enterobius sp.,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.031,1,Helminth,Direct-CloseT-Nonclose
77,77,Alouatta palliata,Flavivirus St. Louis encephalitis,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.07,1,Virus,Vector-Indirect
78,78,Alouatta palliata,Flavivirus Yellow Fever,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0.228604651,2,Virus,Vector-Indirect
79,79,Alouatta palliata,Giardia sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.5,1,Protozoa,Direct-Nonclose
80,80,Alouatta palliata,Iodamoeba sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.052,1,Protozoa,Direct
81,81,Alouatta palliata,Isospora arctopitheci,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,1,Protozoa,Direct-Nonclose
82,82,Alouatta palliata,Leishmania mexicana,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.053,1,Protozoa,Vector-Indirect
83,83,Alouatta palliata,Listrocarpus alouattae,4,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0.476907692,1,Arthropod,Direct-Vertical-CloseT
84,84,Alouatta palliata,Mansonella marmosetae,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0.035901345,2,Helminth,Vector-Indirect
85,85,Alouatta palliata,Parabronema bonnei,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0.012,2,Helminth,Vector-Indirect
86,86,Alouatta palliata,Plasmodium brasilianum,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0.035945946,3,Protozoa,Vector-Indirect
87,87,Alouatta palliata,Plasmodium simium,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
88,88,Alouatta palliata,Prosthenorchis elegans,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.012,1,Helminth,Indirect-Intermediate
89,89,Alouatta palliata,Raillietina demerariensis,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.019,1,Helminth,Indirect-Intermediate
90,90,Alouatta palliata,Retortamonas sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.12,1,Protozoa,Direct
91,91,Alouatta palliata,Salmonella enterica,0,4,0,0,0,0,0,0,4,0,0,0,4,4,0,0.025,1,Bacteria,Direct-CloseT-Nonclose
92,92,Alouatta palliata,Strongyloides sp.,0,0,0,0,0,6,0,0,6,6,0,0,0,6,0,,3,Helminth,Direct-Indirect-Nonclose
93,93,Alouatta palliata,Trichomonas sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.75,1,Protozoa,Direct
94,94,Alouatta palliata,Trypanosoma cruzi,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.105,1,Protozoa,Vector-Indirect
95,95,Alouatta palliata,Trypanosoma minasense,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
96,96,Alouatta palliata,Trypanosoma mycetae,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0.01,2,Protozoa,Vector-Indirect
97,97,Alouatta palliata,Trypanoxyuris minutus,0,0,0,0,0,10,0,0,10,0,0,0,10,10,0,0.69431477,6,Helminth,Direct-CloseT-Nonclose
98,98,Alouatta seniculus,Alouattalges corbeti,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,,2,Arthropod,Direct-CloseT
99,99,Alouatta seniculus,Alouattamyia baeri,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,Arthropod,Direct-Nonclose
100,100,Alouatta seniculus,Alphavirus Mayaro virus,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0.608940199,3,Virus,Vector-Indirect
101,101,Alouatta seniculus,Amblyomma cajennense,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,1,Arthropod,Direct-Indirect-Nonclose
102,102,Alouatta seniculus,Ascaris lumbricoides,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
103,103,Alouatta seniculus,Balantidium sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,Protozoa,Direct
104,104,Alouatta seniculus,Blastocystis hominis,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.077230769,2,Protozoa,Direct-CloseT-Nonclose
105,105,Alouatta seniculus,Cebidicola extrarius,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
106,106,Alouatta seniculus,Cebidicola semiarmatus,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
107,107,Alouatta seniculus,Chilomastix mesnili,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.063,1,Protozoa,Direct-CloseT-Nonclose
108,108,Alouatta seniculus,Cochliomyia hominivorax,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1,Arthropod,Vector-Indirect
109,109,Alouatta seniculus,Controrchis biliophilus,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
110,110,Alouatta seniculus,Dipetalonema gracile,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
111,111,Alouatta seniculus,Entamoeba sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.583,1,Protozoa,Direct
112,112,Alouatta seniculus,Enteromonas sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.083,1,Protozoa,Direct-Nonclose
113,113,Alouatta seniculus,Filariopsis usper,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
114,114,Alouatta seniculus,Flavivirus Yellow Fever,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.351,1,Virus,Vector-Indirect
115,115,Alouatta seniculus,Iodamoeba butschlii,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.063,1,Protozoa,Direct-CloseT-Nonclose
116,116,Alouatta seniculus,Mansonella sp.,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
117,117,Alouatta seniculus,Mycoplasma sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Bacteria,
118,118,Alouatta seniculus,Orthobunyavirus Bunyamwera orthobunyavirus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
119,119,Alouatta seniculus,Orthobunyavirus Simbu orthobunyavirus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,1,Virus,Vector-Indirect
120,120,Alouatta seniculus,Parabronema bonnei,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
121,121,Alouatta seniculus,Physaloptera dilatata,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,Helminth,Indirect-Intermediate
122,122,Alouatta seniculus,Plasmodium brasilianum,0,0,9,0,0,0,0,9,0,9,0,0,0,0,0,0.297741736,8,Protozoa,Vector-Indirect
123,123,Alouatta seniculus,Plasmodium falciparum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.716,1,Protozoa,Vector-Indirect
124,124,Alouatta seniculus,Plasmodium simium,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,Protozoa,Vector-Indirect
125,125,Alouatta seniculus,Plasmodium vivax,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0.144333333,1,Protozoa,Vector-Indirect
126,126,Alouatta seniculus,Raillietina demerariensis,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,1,2,Helminth,Indirect-Intermediate
127,127,Alouatta seniculus,Spirura sp.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
128,128,Alouatta seniculus,Strongyloides sp.,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0.3502,2,Helminth,Direct-Indirect-Nonclose
129,129,Alouatta seniculus,Toxoplasma gondii,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0.04,3,Protozoa,Indirect-Intermediate
130,130,Alouatta seniculus,Trichostrongylus sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.042,1,Helminth,Direct-Nonclose
131,131,Alouatta seniculus,Trichuris dispar,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
132,132,Alouatta seniculus,Trichuris trichiura,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.125,1,Helminth,Direct-Nonclose
133,133,Alouatta seniculus,Trypanosoma cruzi,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,2,Protozoa,Vector-Indirect
134,134,Alouatta seniculus,Trypanosoma hippicum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
135,135,Alouatta seniculus,Trypanosoma lambrechti,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,,3,Protozoa,Vector-Indirect
136,136,Alouatta seniculus,Trypanosoma minasense,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,1,Protozoa,Vector-Indirect
137,137,Alouatta seniculus,Trypanosoma mycetae,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,,2,Protozoa,Vector-Indirect
138,138,Alouatta seniculus,Trypanosoma venezuelense,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
139,139,Alouatta seniculus,Trypanoxyuris kemuimae,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,,1,Helminth,Direct-CloseT-Nonclose
140,140,Alouatta seniculus,Trypanoxyuris kotudoi,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,,1,Helminth,Direct-CloseT-Nonclose
141,141,Alouatta seniculus,Trypanoxyuris minutus,0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,1,4,Helminth,Direct-CloseT-Nonclose
142,142,Alouatta seniculus,Trypanoxyuris seunimiii,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,,1,Helminth,Direct-CloseT-Nonclose
143,143,Alouatta sp.,Alouattamyia sp.,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,Arthropod,Direct-Nonclose
144,144,Alouatta sp.,Bertiella mucronata,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,1,Helminth,Indirect-Intermediate
145,145,Alouatta sp.,Cebidicola semiarmatus,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,1,Arthropod,Direct-CloseT
146,146,Alouatta sp.,Flavivirus Yellow Fever,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0.233546099,3,Virus,Vector-Indirect
147,147,Alouatta sp.,Leptospira sp.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,Bacteria,Direct
148,148,Alouatta sp.,Longistriata dubia,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
149,149,Alouatta sp.,Orthobunyavirus Bunyamwera orthobunyavirus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.1,1,Virus,Vector-Indirect
150,150,Alouatta sp.,Orthobunyavirus Kairi orthobunyavirus,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.05,1,Virus,Vector-Indirect
151,151,Alouatta sp.,Orthobunyavirus Simbu orthobunyavirus,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0.174301075,2,Virus,Vector-Indirect
152,152,Alouatta sp.,Plasmodium brasilianum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,Protozoa,Vector-Indirect
153,153,Alouatta sp.,Plasmodium falciparum,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
154,154,Alouatta sp.,Plasmodium vivax,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
155,155,Alouatta sp.,Toxoplasma gondii,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,1,Protozoa,Indirect-Intermediate
156,156,Alouatta sp.,Trypanosoma brimonti,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1,Protozoa,Vector-Indirect
157,157,Alouatta sp.,Trypanoxyuris minutus,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0.823558824,1,Helminth,Direct-CloseT-Nonclose
158,158,Alouatta villosa,Alouattamyia baeri,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.28,1,Arthropod,Direct-Nonclose
159,159,Alouatta villosa,Ascaris sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
160,160,Alouatta villosa,Blastocystis sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.65,1,Protozoa,Direct
161,161,Alouatta villosa,Controrchis biliophilus,0,0,0,0,0,23,0,0,0,23,0,0,0,0,23,0.488772031,5,Helminth,Indirect-Intermediate
162,162,Alouatta villosa,Entamoeba coli,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0.201481663,2,Protozoa,Direct-CloseT-Nonclose
163,163,Alouatta villosa,Enterobius sp.,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.02,1,Helminth,Direct-CloseT-Nonclose
164,164,Alouatta villosa,Giardia intestinalis,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,1,Protozoa,Direct-Nonclose
165,165,Alouatta villosa,Isospora sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,1,Protozoa,Direct
166,166,Alouatta villosa,Leishmania mexicana,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0.5501,1,Protozoa,Vector-Indirect
167,167,Alouatta villosa,Parabronema sp.,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.007,1,Helminth,Vector-Indirect
168,168,Alouatta villosa,Raillietina sp.,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0.039145631,1,Helminth,Indirect-Intermediate
169,169,Alouatta villosa,Strongyloides sp.,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.45,1,Helminth,Direct-Indirect-Nonclose
170,170,Alouatta villosa,Trichostrongyloidea sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.02,1,Helminth,Direct-Nonclose
171,171,Alouatta villosa,Trichostrongylus sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
172,172,Alouatta villosa,Trichuris sp.,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,Helminth,Direct-Nonclose
173,173,Alouatta villosa,Trypanosoma cruzi,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0.2501,1,Protozoa,Vector-Indirect
174,174,Alouatta villosa,Trypanoxyuris minutus,0,0,0,0,0,12,0,0,12,0,0,0,12,12,0,0.230625899,3,Helminth,Direct-CloseT-Nonclose
175,175,Aotus azarae,Aototrema dorsogenitalis,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,1,Helminth,
176,176,Aotus azarae,Athesmia heterolecithodes,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.005,1,Helminth,Indirect-Intermediate
177,177,Aotus azarae,Blastocystis sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.264,1,Protozoa,Direct
178,178,Aotus azarae,Dipetalonema gracile,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,1,Helminth,Vector-Indirect
179,179,Aotus azarae,Endolimax nana,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.226,1,Protozoa,Direct-CloseT-Nonclose
180,180,Aotus azarae,Entamoeba sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.226,1,Protozoa,Direct
181,181,Aotus azarae,Giardia sp.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.075,1,Protozoa,Direct-Nonclose
